iter	MAE
0	4446.765172
1	4413.236274
2	4381.078751
3	4348.132925
4	4316.216581
5	4283.787129
6	4252.576165
7	4220.392797
8	4191.063172
9	4161.432614
10	4132.428994
11	4101.386655
12	4071.68161
13	4043.536023
14	4014.830714
15	3986.742991
16	3959.030619
17	3932.154514
18	3905.3537
19	3877.963953
20	3850.459786
21	3823.637714
22	3798.135604
23	3773.526638
24	3746.090859
25	3721.442015
26	3696.416668
27	3670.589614
28	3646.470049
29	3620.990572
30	3595.767216
31	3571.055579
32	3549.653592
33	3524.469817
34	3500.295642
35	3476.408539
36	3454.577744
37	3434.364763
38	3413.861884
39	3393.519729
40	3374.74709
41	3353.062888
42	3331.740427
43	3311.175642
44	3290.515974
45	3270.603484
46	3249.073853
47	3230.26073
48	3211.447143
49	3192.935951
50	3171.623778
51	3149.848532
52	3128.932057
53	3109.041924
54	3089.786664
55	3069.758054
56	3050.123602
57	3030.945124
58	3011.18604
59	2993.13028
60	2973.133827
61	2954.774712
62	2936.60531
63	2920.257997
64	2901.579389
65	2884.512917
66	2865.578024
67	2846.812552
68	2829.375638
69	2812.510926
70	2794.866517
71	2779.560313
72	2763.624257
73	2747.107834
74	2732.630125
75	2718.46717
76	2703.278942
77	2686.47065
78	2670.769205
79	2653.906023
80	2638.064655
81	2624.454868
82	2611.138137
83	2595.651807
84	2580.670393
85	2565.165623
86	2550.50796
87	2535.361243
88	2520.780313
89	2507.065097
90	2494.146354
91	2481.086558
92	2467.780678
93	2452.835808
94	2439.459034
95	2425.431719
96	2413.143561
97	2400.366596
98	2386.792077
99	2373.341068
100	2361.697375
101	2348.203254
102	2335.516988
103	2321.742898
104	2308.794506
105	2296.253218
106	2284.147068
107	2272.298072
108	2260.272748
109	2247.655066
110	2235.929678
111	2223.892772
112	2212.935063
113	2200.384355
114	2189.068743
115	2179.262197
116	2169.356456
117	2157.859391
118	2148.147642
119	2138.558572
120	2127.490348
121	2116.345316
122	2105.895128
123	2094.60207
124	2083.74988
125	2073.513406
126	2064.183683
127	2054.536467
128	2045.142994
129	2035.080799
130	2025.963973
131	2015.228204
132	2005.35332
133	1995.68599
134	1985.708291
135	1977.188963
136	1966.833352
137	1958.575304
138	1949.714857
139	1941.597602
140	1933.48536
141	1923.80847
142	1914.387765
143	1906.003659
144	1896.794728
145	1889.292855
146	1880.369474
147	1871.564321
148	1863.098407
149	1854.842356
150	1846.93358
151	1839.903847
152	1833.565767
153	1826.683816
154	1820.866448
155	1813.455887
156	1804.825891
157	1798.114777
158	1789.699256
159	1782.192213
160	1774.469551
161	1766.99752
162	1759.97935
163	1754.18588
164	1746.727873
165	1740.568075
166	1732.142766
167	1725.974011
168	1717.880686
169	1711.609271
170	1704.377505
171	1698.027591
172	1691.388887
173	1684.570257
174	1677.256605
175	1670.426172
176	1665.477657
177	1659.074411
178	1652.027971
179	1646.417945
180	1640.481087
181	1634.498563
182	1627.681206
183	1621.449872
184	1614.860065
185	1608.929429
186	1602.596101
187	1596.302573
188	1589.906318
189	1585.17782
190	1579.048894
191	1573.101259
192	1567.767073
193	1562.565213
194	1558.306276
195	1552.385993
196	1548.653912
197	1544.704288
198	1539.001422
199	1534.118072
200	1528.885087
201	1523.501835
202	1518.683184
203	1513.977456
204	1508.938868
205	1503.567802
206	1497.810228
207	1493.904257
208	1489.350966
209	1485.575555
210	1482.066014
211	1476.827036
212	1472.046578
213	1466.991822
214	1462.105911
215	1457.095904
216	1452.669447
217	1447.717957
218	1443.978155
219	1439.890254
220	1435.181461
221	1430.725577
222	1426.689977
223	1422.903265
224	1418.655202
225	1413.934824
226	1409.683442
227	1406.596958
228	1402.834317
229	1398.266618
230	1394.356253
231	1390.826692
232	1387.932698
233	1384.639703
234	1381.549145
235	1378.37009
236	1374.795306
237	1370.800463
238	1368.072066
239	1364.903679
240	1361.464078
241	1357.693388
242	1354.070845
243	1350.940974
244	1347.500414
245	1344.183243
246	1340.653434
247	1337.305176
248	1333.330809
249	1329.508975
250	1326.437531
251	1322.669324
252	1319.014291
253	1315.659731
254	1312.141402
255	1309.594519
256	1306.319392
257	1303.164611
258	1299.432549
259	1296.189238
260	1292.892589
261	1289.076902
262	1285.60533
263	1282.899933
264	1280.102447
265	1277.437614
266	1275.945875
267	1273.042322
268	1271.03834
269	1267.892758
270	1264.835347
271	1261.575206
272	1259.173362
273	1256.465257
274	1253.549813
275	1251.006038
276	1247.739121
277	1244.897424
278	1242.761705
279	1240.175818
280	1237.003006
281	1234.302111
282	1231.898302
283	1228.928993
284	1226.356748
285	1224.080381
286	1221.752586
287	1219.855927
288	1217.702041
289	1215.312612
290	1212.976213
291	1210.843827
292	1208.952155
293	1206.967113
294	1204.219196
295	1201.341557
296	1199.20499
297	1196.286352
298	1194.372408
299	1192.344125
300	1190.186022
301	1188.085975
302	1185.772131
303	1183.797689
304	1181.75068
305	1179.455221
306	1176.904271
307	1174.751952
308	1172.311733
309	1170.411962
310	1168.640894
311	1166.625272
312	1164.225931
313	1162.802014
314	1160.328006
315	1158.328261
316	1156.691723
317	1154.637661
318	1152.23731
319	1150.360247
320	1148.258563
321	1145.956792
322	1143.715548
323	1141.869009
324	1139.670913
325	1137.564933
326	1135.717056
327	1134.024193
328	1132.311177
329	1130.628335
330	1128.87045
331	1127.856718
