iter	Passed	Remaining
0	220	3312194
1	302	2269603
2	388	1943423
3	473	1773292
4	557	1670694
5	639	1597497
6	730	1564843
7	817	1531415
8	906	1509887
9	995	1491892
10	1085	1479566
11	1176	1469862
12	1285	1481897
13	1378	1475508
14	1468	1466605
15	1564	1465158
16	1657	1461118
17	1743	1451086
18	1835	1447259
19	1923	1440952
20	2020	1441501
21	2111	1437228
22	2202	1434392
23	2295	1432483
24	2415	1446628
25	2508	1444641
26	2593	1438262
27	2686	1436693
28	2775	1432846
29	2869	1431794
30	2963	1431052
31	3062	1432301
32	3157	1431955
33	3250	1430860
34	3347	1431223
35	3445	1432254
36	3532	1428703
37	3623	1426538
38	3727	1429811
39	3820	1428806
40	3915	1428669
41	4012	1428908
42	4107	1428658
43	4194	1425714
44	4283	1423612
45	4369	1420510
46	4465	1420704
47	4552	1418045
48	4660	1422015
49	4755	1421885
50	4840	1418830
51	4928	1416867
52	5015	1414347
53	5100	1411602
54	5187	1409612
55	5275	1407909
56	5357	1404541
57	5444	1402500
58	5538	1402437
59	5629	1401815
60	5723	1401716
61	5818	1401769
62	5910	1401282
63	5999	1400100
64	6095	1400549
65	6192	1401125
66	6288	1401647
67	6372	1399269
68	6457	1397309
69	6543	1395549
70	6630	1394141
71	6718	1392983
72	6803	1391092
73	6886	1389086
74	6976	1388364
75	7056	1385576
76	7139	1383603
77	7226	1382440
78	7308	1380321
79	7420	1383843
80	7540	1388841
81	7652	1392182
82	7769	1396323
83	7886	1400343
84	7998	1403449
85	8118	1407928
86	8237	1412053
87	8361	1416925
88	8476	1420083
89	8589	1423035
90	8701	1425544
91	8829	1430834
92	8946	1434034
93	9061	1436963
94	9175	1439556
95	9295	1443094
96	9433	1449327
97	9562	1454034
98	9690	1458507
99	9818	1462908
100	9935	1465657
101	10057	1468958
102	10173	1471434
103	10287	1473419
104	10411	1476977
105	10525	1478921
106	10635	1480368
107	10745	1481625
108	10868	1484750
109	10985	1487091
110	11106	1489815
111	11224	1492072
112	11341	1494153
