feature,importance
v_0,0.2735658
v_12,0.1983461
v_3,0.14699137
brand_model_price_std,0.04542148
power_log,0.0276857
brand_model_price_max,0.02510297
v_10,0.021988882
kilometer,0.015063548
model_price_max,0.01482971
age_price_min,0.01370056
power,0.013650285
model_price_min,0.011468372
notRepairedDamage,0.009713699
v_8,0.00692675
age_price_mean,0.0065834792
model_price_mean,0.0060322993
vehicle_age_days,0.0057626516
model_price_median,0.005279522
age_price_median,0.005269714
reg_year,0.005265263
vehicle_age_years,0.005115403
carAge,0.004825611
notRepairedDamage_freq,0.0047519295
v_6,0.0047100456
v_14,0.004706215
is_new_car,0.0044343527
age_price_std,0.004050616
age_segment,0.0039805407
v_9,0.003967069
v_5,0.0038223027
car_age_from_now,0.003725257
v_1,0.0036152462
model_price_ratio,0.003533226
brand_price_mean,0.0033765836
power_displacement_ratio,0.0032288528
brand_model_price_median,0.003102915
model_price_count,0.002943239
brand_price_std,0.0029074694
model_freq,0.002880617
brand_min_price,0.0028117609
brand_model_price_min,0.002804272
model_price_std,0.0027988318
brand_carAge,0.0025553717
model_kilometer,0.002522838
bodyType,0.0023999682
fuelType,0.0022926345
v_4,0.0022884514
age_price_max,0.0021935164
brand_price_count,0.002079331
v_13,0.001988053
brand_freq,0.0019242322
v_2,0.0019207642
v_11,0.001894671
km_per_year,0.0018922002
brand_model,0.0018679043
v_7,0.0018667801
power_model,0.0018281767
fuelType_freq,0.0015807371
gearbox_freq,0.0015531288
creatQuarter,0.0015431119
brand_price_median,0.0015097338
brand_model_price_mean,0.0014947419
gearbox,0.0014866348
bodyType_freq,0.0014828021
model_num,0.0014613785
brand_model_price_count,0.0013705543
brand,0.0013666411
brand_max_price,0.0011838479
creatMonth,0.0010997845
model,0.0010391873
creat_month,0.001030446
power_outlier,0.00086928403
regQuarter,0.0008604706
brand_price_ratio,0.00085312186
creat_year,0.00079955993
regMonth,0.0007689353
reg_month,0.00075493817
reg_day,0.0007454516
creat_day,0.0007420456
reg_season,0.00074054877
regionCode,0.00073640374
creat_season,0.0006711095
v_11_missing,0.0
kilometer_outlier,0.0
v_8_missing,0.0
power_missing,0.0
kilometer_missing,0.0
v_9_missing,0.0
v_10_missing,0.0
v_12_missing,0.0
v_13_missing,0.0
v_14_missing,0.0
v_0_missing,0.0
v_1_missing,0.0
v_2_missing,0.0
v_3_missing,0.0
v_4_missing,0.0
v_5_missing,0.0
v_6_missing,0.0
v_7_missing,0.0
v_0_outlier,0.0
